repo_name,pr_number
ISE-Research/PR-Descriptions,2
ISE-Research/PR-Descriptions,3
ISE-Research/PR-Descriptions,12
ISE-Research/PR-Descriptions,14
ISE-Research/PR-Descriptions,16
ISE-Research/PR-Descriptions,17
ISE-Research/PR-Descriptions,18
ISE-Research/PR-Descriptions,19
bugsnag/bugsnag-android,97
emojidex/emojidex-android,121
rollerderby/scoreboard,79
querydsl/querydsl,775
JabRef/jabref,3884
Realm/realm-java,5835
elastic/elasticsearch,37601
embulk/embulk,250
syncthing/syncthing-android,878
MovingBlocks/Terasology,2255
DataDog/jmxfetch,95
eXist-db/exist,2190
denzilferreira/aware-client,59
Silverpeas/Silverpeas-Core,125
crawljax/crawljax,279
searchbox-io/Jest,456
getlantern/lantern,3433
GlobalNOC/FlowSpaceFirewall,60
openelisglobal/openelisglobal-core,714
telefonicaid/fiware-cygnus,990
dbfit/dbfit,586
Esri/military-features-data,10
Catrobat/Paintroid,124
freenet/fred,436
stripe/stripe-android,205
CorfuDB/CorfuDB,1069
rollerderby/scoreboard,78
rstudio/rstudio,1285
basho/riak-java-client,27
square/okhttp,3149
unclebob/fitnesse,273
Esri/military-features-data,149
wso2/carbon-analytics,638
jeremylong/DependencyCheck,1148
stripe/stripe-android,318
hibernate/hibernate-search,488
rackerlabs/repose,1404
CeON/CoAnSys,81
jMonkeyEngine/jmonkeyengine,702
ArcBees/gwtquery,247
ControlSystemStudio/cs-studio,1019
glyptodon/guacamole-client,244
jeremylong/DependencyCheck,493
usergrid/usergrid,111
hibernate/hibernate-search,1730
rstudio/rstudio,3628
zanata/zanata-server,712
datacleaner/DataCleaner,888
brooklyncentral/brooklyn,921
neo4j/neo4j,11801
perfectsense/brightspot-cms,139
tastybento/askyblock,611
redline-smalltalk/redline-smalltalk,93
datacleaner/DataCleaner,1658
hawkular/hawkular-metrics,66
scireum/sirius-web,92
researchstudio-sat/webofneeds,2318
groovy/groovy-core,547
bigbluebutton/bigbluebutton,5167
Jasig/uPortal,778
A24Group/ssGWT-lib,66
calabash/calabash-android,131
ArcBees/GWTP,646
runtimeverification/javamop,220
atlasapi/atlas-feeds,6
dana-i2cat/opennaas,181
wiglenet/wigle-wifi-wardriving,147
Realm/realm-java,5741
azkaban/azkaban,935
Azure/azure-sdk-for-java,1649
imagej/imagej-ops,290
k9mail/k-9,3123
mapfish/mapfish-print,16
rackerlabs/blueflood,23
georchestra/georchestra,1341
HubSpot/Singularity,1043
flightstats/hub,331
ControlSystemStudio/cs-studio,1747
Esri/arcgis-runtime-samples-java,116
Netflix/Priam,599
eXist-db/exist,1434
neo4j/neo4j,10897
igniterealtime/Openfire,849
Azure/azure-sdk-for-java,1948
eleybourn/Book-Catalogue,577
WASdev/ci.maven,246
dianping/cat,42
wso2/product-greg,190
jenkinsci/ec2-plugin,107
osiam/connector4java-integration-tests,39
hibernate/hibernate-validator,253
robworth/patientview,209
rundeck/rundeck,4151
BroadleafCommerce/BroadleafCommerce,46
waarp/WaarpCommon,98
duckduckgo/android,106
atlasapi/atlas-model,54
Netflix/archaius,204
telefonicaid/fiware-cygnus,952
BuildCraft/BuildCraft,1088
stormpath/stormpath-sdk-java,1294
ethereum/ethereumj,967
ProjectKorra/ProjectKorra,536
languagetool-org/languagetool,425
Rajawali/Rajawali,1694
jmrozanec/cron-utils,135
valotrading/stirling,107
zanata/zanata-server,862
BaseXdb/basex,158
CHIRDL-Openmrs-Modules/chica,60
edx/edx-app-android,147
deeplearning4j/nd4j,1841
tomakehurst/wiremock,222
UW-Madison-DoIT/hrs-portlets,25
craftercms/search,106
mixi-inc/AndroidTraining,14
QuantumBadger/RedReader,478
deeplearning4j/nd4j,1469
spotify/docker-client,399
modcluster/mod,16
Netflix/denominator,22
guardianproject/ChatSecureAndroid,681
eclipse/smarthome,6629
edoweb/regal-api,253
wso2/product-greg,124
aerogear/aerogear-unifiedpush-server,350
GlowstoneMC/Glowstone,858
elastic/elasticsearch,36416
gradle/gradle,7924
wso2/carbon-analytics,345
52North/WPS,38
iluwatar/java-design-patterns,329
usgs/nshmp-haz,388
mcMMO-Dev/mcMMO,327
slipstream/SlipStreamConnectors,56
KronicDeth/intellij-elixir,861
