repo_name,pr_number
ISE-Research/PR-Descriptions,2
ISE-Research/PR-Descriptions,4
ISE-Research/PR-Descriptions,12
ISE-Research/PR-Descriptions,14
ISE-Research/PR-Descriptions,16
ISE-Research/PR-Descriptions,17
ISE-Research/PR-Descriptions,18
ISE-Research/PR-Descriptions,19
ISE-Research/PR-Descriptions,20
ISE-Research/PR-Descriptions,21
ISE-Research/PR-Descriptions,22
ISE-Research/PR-Descriptions,23
ISE-Research/PR-Descriptions,24
ISE-Research/PR-Descriptions,25
ISE-Research/PR-Descriptions,26
ISE-Research/PR-Descriptions,27
ISE-Research/PR-Descriptions,28
ISE-Research/PR-Descriptions,29
ISE-Research/PR-Descriptions,30
ISE-Research/PR-Descriptions,31
ISE-Research/PR-Descriptions,32
ISE-Research/PR-Descriptions,33
undera/jmeter-plugins,147
sinkillerj/ProjectE,1046
jbosstools/jbosstools-integration-tests,411
molgenis/molgenis,179
BaseXdb/basex,871
OpenClinica/OpenClinica,1808
intermine/intermine,1753
deeplearning4j/nd4j,1545
CMPUT301F14T14/android-question-answer-app,209
pietermartin/sqlg,189
ggc-itec/ggc-connect,19
JabRef/jabref,4044
Sage-Bionetworks/BridgeJavaSDK,281
DigitalPebble/storm-crawler,184
k9mail/k-9,1210
zeapo/Android-Password-Store,466
elastic/elasticsearch,36238
HubSpot/jinjava,202
Activiti/Activiti,618
mockito/mockito,14
k9mail/k-9,29
adjust/android,229
intermine/intermine,1530
dropwizard/metrics,500
dana-i2cat/opennaas,662
ooici/ion-definitions,65
infinispan/infinispan,5766
geoserver/geoserver,2383
hibernate/hibernate-search,1831
Netflix/archaius,367
azkaban/azkaban,1421
hector-client/hector,237
resty-gwt/resty-gwt,91
AppliedEnergistics/Applied-Energistics-2,3592
MightyPirates/OpenComputers,398
lob/lob-java,145
rackerlabs/blueflood,53
M66B/XPrivacy,823
rackerlabs/repose,1449
spring-io/sagan,741
opentok/opentok-android-sdk-samples,64
spotify/docker-client,595
JetBrains/jediterm,35
bugsnag/bugsnag-android,155
mybatis/generator,90
researchstudio-sat/webofneeds,2165
ReactiveX/RxJava,5395
elastic/elasticsearch,37083
rstudio/rstudio,1232
MinecraftForge/MinecraftForge,5435
brooklyncentral/brooklyn,1245
OpenHMIS/openmrs-module-openhmis.cashier,117
MinecraftForge/MinecraftForge,3469
mapzen/open,80
ooyala/android-sample-apps,403
getrailo/railo,376
spotify/docker-client,280
ooici/ion-definitions,70
entando/entando-components,388
OpenClinica/OpenClinica,1861
geoserver/geoserver,3009
kbase/workspace,260
Netflix/genie,438
mballance/sveditor,157
groovy/groovy-core,172
Netflix/governator,76
OpenNMS/opennms,1638
go-lang-plugin-org/go-lang-idea-plugin,761
HubSpot/jinjava,108
CeON/CoAnSys,205
neo4j/neo4j,11158
hopshadoop/hops,288
ProjectKorra/ProjectKorra,108
xerial/sqlite-jdbc,184
rundeck/rundeck,3596
DroidPlanner/Tower,1340
B3Partners/brmo,611
the-blue-alliance/the-blue-alliance-android,746
appium/appium-adb,335
dana-i2cat/opennaas,496
javaparser/javaparser,1925
apache/incubator-brooklyn,990
mapfish/mapfish-print,305
pgjdbc/pgjdbc,297
umple/Umple,644
zznate/intravert-ug,50
jenkinsci/tfs-plugin,32
hibernate/hibernate-orm,2815
GlowstoneMC/Glowstone,155
AxonFramework/AxonFramework,216
Rise-Vision/rva,158
OpenIndiana/oi-userland,4462
siddhi-io/siddhi,744
getlantern/lantern,3806
unclebob/fitnesse,1103
